height,weight,age,Cluster
185.0,83.0,97.0,0
201.0,94.0,95.0,1
203.0,102.0,94.0,1
193.0,86.0,94.0,0
196.0,97.0,95.0,1
190.0,83.0,96.0,0
188.0,83.0,97.0,0
190.0,95.0,97.0,1
188.0,88.0,98.0,0
201.0,90.0,96.0,1
190.0,86.0,95.0,0
183.0,72.0,96.0,0
188.0,83.0,97.0,0
185.0,77.0,98.0,0
193.0,95.0,96.0,1
206.0,97.0,95.0,1
201.0,97.0,95.0,1
183.0,83.0,95.0,0
188.0,83.0,97.0,0
190.0,81.0,96.0,0
193.0,86.0,94.0,0
190.0,83.0,95.0,0
196.0,92.0,94.0,1
203.0,92.0,94.0,1
198.0,102.0,95.0,1
190.0,86.0,98.0,0
211.0,99.0,95.0,1
203.0,95.0,94.0,1
188.0,86.0,97.0,0
180.0,83.0,97.0,0
196.0,81.0,95.0,0
188.0,95.0,94.0,1
201.0,95.0,93.0,1
188.0,84.0,95.0,0
198.0,97.0,94.0,1
206.0,106.0,96.0,1
188.0,81.0,97.0,0
198.0,90.0,94.0,1
211.0,106.0,95.0,1
211.0,106.0,96.0,1
196.0,95.0,93.0,1
196.0,88.0,100.0,1
190.0,79.0,90.0,0
196.0,88.0,90.0,1
193.0,88.0,95.0,0
198.0,81.0,96.0,0
190.0,97.0,96.0,1
185.0,81.0,96.0,0
198.0,95.0,95.0,1
193.0,83.0,96.0,0
180.0,73.0,95.0,0
196.0,86.0,97.0,1
201.0,86.0,95.0,1
190.0,88.0,95.0,0
190.0,77.0,93.0,0
193.0,95.0,95.0,1
190.0,83.0,96.0,0
185.0,84.0,94.0,0
188.0,86.0,96.0,0
190.0,95.0,96.0,1
193.0,86.0,93.0,0
196.0,86.0,97.0,1
196.0,77.0,95.0,0
198.0,111.0,93.0,1
188.0,80.0,96.0,0
206.0,104.0,93.0,1
198.0,99.0,94.0,1
188.0,83.0,96.0,0
188.0,83.0,95.0,0
193.0,97.0,94.0,1
190.0,86.0,97.0,0
190.0,86.0,97.0,0
190.0,83.0,95.0,0
196.0,81.0,93.0,0
203.0,99.0,93.0,1
198.0,95.0,92.0,1
193.0,92.0,93.0,0
206.0,92.0,93.0,1
190.0,86.0,94.0,0
196.0,92.0,95.0,1
190.0,81.0,93.0,0
188.0,77.0,94.0,0
206.0,99.0,93.0,1
201.0,83.0,93.0,1
193.0,77.0,95.0,0
183.0,72.0,95.0,0
185.0,81.0,95.0,0
196.0,99.0,92.0,1
188.0,86.0,94.0,0
201.0,108.0,94.0,1
196.0,90.0,92.0,1
201.0,99.0,93.0,1
196.0,88.0,94.0,1
213.0,99.0,95.0,1
190.0,83.0,94.0,0
193.0,86.0,92.0,0
190.0,85.0,92.0,0
190.0,90.0,93.0,0
198.0,92.0,92.0,1
190.0,86.0,92.0,0
198.0,99.0,92.0,1
190.0,83.0,96.0,0
203.0,86.0,93.0,1
196.0,99.0,95.0,1
183.0,76.0,92.0,0
193.0,86.0,94.0,0
188.0,92.0,92.0,1
188.0,81.0,95.0,0
201.0,97.0,92.0,1
196.0,86.0,90.0,1
190.0,88.0,90.0,0
206.0,89.0,92.0,1
190.0,83.0,92.0,0
201.0,105.0,92.0,1
198.0,95.0,91.0,1
198.0,104.0,94.0,1
190.0,81.0,93.0,0
203.0,99.0,92.0,1
198.0,95.0,98.0,1
203.0,95.0,93.0,1
190.0,83.0,93.0,0
201.0,103.0,91.0,1
188.0,83.0,92.0,0
193.0,88.0,93.0,0
193.0,95.0,94.0,1
201.0,98.0,91.0,1
198.0,97.0,91.0,1
203.0,92.0,91.0,1
208.0,92.0,92.0,1
183.0,73.0,90.0,0
190.0,83.0,93.0,0
185.0,83.0,91.0,0
198.0,102.0,91.0,1
198.0,90.0,93.0,1
198.0,104.0,91.0,1
185.0,81.0,91.0,0
208.0,97.0,91.0,1
203.0,90.0,92.0,1
190.0,83.0,91.0,0
196.0,92.0,90.0,1
201.0,97.0,90.0,1
196.0,86.0,95.0,1
193.0,88.0,94.0,0
198.0,86.0,90.0,1
185.0,83.0,92.0,0
188.0,77.0,94.0,0
193.0,86.0,90.0,0
190.0,99.0,93.0,1
193.0,83.0,90.0,0
193.0,83.0,90.0,0
203.0,95.0,94.0,1
193.0,89.0,92.0,0
203.0,104.0,90.0,1
188.0,80.0,90.0,0
188.0,79.0,94.0,0
188.0,83.0,90.0,0
196.0,95.0,90.0,1
193.0,86.0,92.0,0
201.0,99.0,91.0,1
198.0,98.0,93.0,1
203.0,104.0,90.0,1
193.0,88.0,95.0,0
188.0,83.0,92.0,0
196.0,102.0,91.0,1
198.0,95.0,90.0,1
193.0,90.0,92.0,0
198.0,92.0,89.0,1
201.0,79.0,90.0,1
203.0,92.0,89.0,1
206.0,100.0,89.0,1
196.0,83.0,89.0,1
203.0,108.0,88.0,1
201.0,95.0,89.0,1
198.0,97.0,88.0,1
188.0,79.0,89.0,0
198.0,86.0,90.0,1
190.0,88.0,89.0,0
196.0,97.0,93.0,1
196.0,97.0,93.0,1
180.0,83.0,89.0,0
196.0,92.0,89.0,1
203.0,101.0,92.0,1
206.0,99.0,89.0,1
206.0,97.0,89.0,1
183.0,83.0,90.0,0
188.0,83.0,91.0,0
201.0,92.0,89.0,1
203.0,99.0,92.0,1
206.0,102.0,89.0,1
190.0,90.0,88.0,0
193.0,86.0,89.0,0
183.0,81.0,93.0,0
216.0,124.0,89.0,1
203.0,104.0,88.0,1
196.0,90.0,92.0,1
196.0,99.0,88.0,1
196.0,95.0,89.0,1
201.0,95.0,88.0,1
